primary_id,paxdb_ppm
Q9Y265,123.0
P36957,123.0
P00813,122.0
P49257,122.0
P01040,122.0
P17844,122.0
P06276,121.0
P28074,121.0
P13797,121.0
P52292,121.0
Q9H4G4,120.0
P27695,120.0
P55769,120.0
P00367,120.0
P22492,120.0
P49321,119.0
A0A7P0MRT9,119.0
P63010,119.0
P51572,119.0
Q9Y2V2,118.0
Q96K17,118.0
P80365,118.0
P10768,118.0
Q5T4U5,118.0
P63279,118.0
P55795,118.0
O15350,118.0
P10109,117.0
H0YIN7,117.0
P56537,117.0
Q99536,117.0
P35754,117.0
Q5T5C7,117.0
E9PAV3,116.0
Q16576,116.0
O43852,116.0
P49755,116.0
P78386,115.0
O75964,115.0
Q96IY4,115.0
Q14532,115.0
Q13561,115.0
Q16891,115.0
Q9BUL8,115.0
O43809,115.0
P07911,115.0
O15400,115.0
P24158,115.0
O95336,114.0
O43790,114.0
P00740,114.0
Q9UNX3,114.0
P55060,114.0
Q92499,114.0
O60664,114.0
P24592,114.0
P42677,114.0
P61513,114.0
P50453,114.0
O14558,113.0
A0A0A6YYL6,113.0
P42224,113.0
O76011,113.0
Q07960,113.0
P02792,112.0
O14979,112.0
P42704,112.0
P35244,112.0
P24539,111.0
Q96AG4,111.0
P05556,111.0
P03950,111.0
P17980,111.0
P08519,111.0
P46940,111.0
Q9Y3F4,110.0
G3V3E8,110.0
P13646,110.0
Q8WUM4,110.0
P41250,110.0
P12268,110.0
P11177,110.0
A0A7P0MP65,110.0
P83916,109.0
P05091,109.0
Q9UKK9,109.0
P11586,109.0
P02730,108.0
P05154,108.0
Q09028,108.0
P07339,108.0
P54578,108.0
Q9HC38,108.0
Q14152,108.0
Q3ZCW2,108.0
P33316,108.0
P02741,107.0
P01889,107.0
P12429,107.0
P59998,107.0
Q9UIJ7,106.0
Q6UXB8,106.0
P51571,106.0
C9JRZ6,106.0
Q14240,106.0
P11940,105.0
O43390,105.0
A0A087X2I1,105.0
P11766,105.0
F5H423,104.0
O95831,104.0
O00187,104.0
O43488,104.0
Q9UBQ7,104.0
P35749,104.0
P33764,104.0
A0A1C7CYX9,104.0
Q9UK76,104.0
Q9UMS4,104.0
P05062,104.0
P62195,103.0
Q10567,103.0
P39656,103.0
Q96IU4,103.0
P35613,103.0
P50148,103.0
M0QXB4,103.0
Q92835,102.0
Q9GZT3,102.0
P04275,102.0
P08294,102.0
P55809,102.0
Q92945,101.0
P22087,101.0
P07359,101.0
O43684,101.0
P50897,101.0
P07305,101.0
P53674,101.0
Q96A08,101.0
P60903,100.0
P21397,100.0
P26639,100.0
P43686,100.0
Q8NBS9,99.6
P14324,99.5
Q27J81,99.5
P61019,99.3
Q5T9B7,99.3
P63208,99.3
P00390,99.3
P55786,99.1
O43776,98.9
P51659,98.8
P21964,98.4
P61970,98.4
H3BNC9,98.4
Q16270,98.4
Q15369,98.4
O60234,97.9
Q969Q0,97.8
P14317,97.5
P02786,97.5
Q9NQC3,97.4
O75955,97.3
P13598,97.2
P55957,97.2
B0QZ18,97.1
P31040,96.5
O14980,96.1
Q16643,96.1
P0CG38,96.0
P22914,96.0
P43243,95.9
A0A0R4J2E8,95.9
Q08380,95.7
Q9Y230,95.7
O15212,95.5
P51665,95.4
P07858,95.4
Q9Y333,95.4
P30046,95.3
P28482,95.2
P09228,95.2
Q16627,95.1
Q92820,95.1
