Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity Strap_1	LFQ intensity Strap_2	LFQ intensity Strap_3
P09132	P09132	SRP19	Signal recognition particle 19 kDa protein	sp|P09132|SRP19_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=3						16390000.0
P09234	P09234	SNRPC	U1 small nuclear ribonucleoprotein C	sp|P09234|RU1C_HUMAN U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1						
P09382	P09382	LGALS1	Galectin-1	sp|P09382|LEG1_HUMAN Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2				1151100000.0	563210000.0	1102800000.0
P09417-2;P09417	P09417-2;P09417	QDPR	Dihydropteridine reductase	sp|P09417-2|DHPR_HUMAN Isoform 2 of Dihydropteridine reductase OS=Homo sapiens OX=9606 GN=QDPR;sp|P09417|DHPR_HUMAN Dihydropteridine reductase OS=Homo sapiens OX=9606 GN=QDPR PE=1 SV=2						
P09429;B2RPK0;P23497	P09429;B2RPK0	HMGB1;HMGB1P1	High mobility group protein B1;Putative high mobility group protein B1-like 1	sp|P09429|HMGB1_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3;sp|B2RPK0|HGB1A_HUMAN Putative high mobility group protein B1-like 1 OS=Homo sapiens OX=9606 GN=HMGB1P1 PE=5 SV=1				1121900000.0	720640000.0	870180000.0
P09493-4;P09493-3;P09493-10;P09493-9;P09493;P09493-8;P09493-7;P09493-6	P09493-4;P09493-3;P09493-10;P09493-9;P09493;P09493-8;P09493-7;P09493-6	TPM1	Tropomyosin alpha-1 chain	sp|P09493-4|TPM1_HUMAN Isoform 4 of Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1;sp|P09493-3|TPM1_HUMAN Isoform 3 of Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1;sp|P09493-10|TPM1_HUMAN Isoform 10 of Tropomyosin alpha-1 chain OS=H						
P09493-5	P09493-5	TPM1	Tropomyosin alpha-1 chain	sp|P09493-5|TPM1_HUMAN Isoform 5 of Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1						
P09496-2;P09496-4;P09496-3;P09496;P09496-5	P09496-2;P09496-4;P09496-3;P09496;P09496-5	CLTA	Clathrin light chain A	sp|P09496-2|CLCA_HUMAN Isoform Non-brain of Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA;sp|P09496-4|CLCA_HUMAN Isoform 4 of Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA;sp|P09496-3|CLCA_HUMAN Isoform 3 of Clathrin light chain A OS=Homo				139720000.0	148290000.0	120800000.0
P09497-2;P09497	P09497-2;P09497	CLTB	Clathrin light chain B	sp|P09497-2|CLCB_HUMAN Isoform Non-brain of Clathrin light chain B OS=Homo sapiens OX=9606 GN=CLTB;sp|P09497|CLCB_HUMAN Clathrin light chain B OS=Homo sapiens OX=9606 GN=CLTB PE=1 SV=1					34487000.0	
P09525;P09525-2	P09525;P09525-2	ANXA4	Annexin A4	sp|P09525|ANXA4_HUMAN Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=4;sp|P09525-2|ANXA4_HUMAN Isoform 2 of Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4				98904000.0	85174000.0	70557000.0
P09543-2;P09543	P09543-2;P09543	CNP	2,3-cyclic-nucleotide 3-phosphodiesterase	sp|P09543-2|CN37_HUMAN Isoform CNPI of 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Homo sapiens OX=9606 GN=CNP;sp|P09543|CN37_HUMAN 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Homo sapiens OX=9606 GN=CNP PE=1 SV=2						
P09622;P09622-2;P09622-3	P09622;P09622-2;P09622-3	DLD	Dihydrolipoyl dehydrogenase, mitochondrial	sp|P09622|DLDH_HUMAN Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2;sp|P09622-2|DLDH_HUMAN Isoform 2 of Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD;sp|P09622-3|DLDH_HUMAN Isoform 3 of Dihyd				168030000.0	142550000.0	175390000.0
P09651-2;P09651;P09651-3;Q32P51	P09651-2;P09651;P09651-3;Q32P51	HNRNPA1;HNRNPA1L2	Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2	sp|P09651-2|ROA1_HUMAN Isoform A1-A of Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1;sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5;sp|P09651-3|ROA1_HUMAN Isoform				3047300000.0	2820500000.0	3988600000.0
P09661	P09661	SNRPA1	U2 small nuclear ribonucleoprotein A	sp|P09661|RU2A_HUMAN U2 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2				115230000.0	96434000.0	130850000.0
P09669	P09669	COX6C	Cytochrome c oxidase subunit 6C	sp|P09669|COX6C_HUMAN Cytochrome c oxidase subunit 6C OS=Homo sapiens OX=9606 GN=COX6C PE=1 SV=2						45747000.0
P09874	P09874	PARP1	Poly [ADP-ribose] polymerase 1	sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4				1236800000.0	1231600000.0	1225900000.0
P09884	P09884	POLA1	DNA polymerase alpha catalytic subunit	sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2						
P09960;P09960-4;P09960-2;P09960-3	P09960;P09960-4;P09960-2;P09960-3	LTA4H	Leukotriene A-4 hydrolase	sp|P09960|LKHA4_HUMAN Leukotriene A-4 hydrolase OS=Homo sapiens OX=9606 GN=LTA4H PE=1 SV=2;sp|P09960-4|LKHA4_HUMAN Isoform 4 of Leukotriene A-4 hydrolase OS=Homo sapiens OX=9606 GN=LTA4H;sp|P09960-2|LKHA4_HUMAN Isoform 2 of Leukotriene A-4 hydrolase OS=Hom				147670000.0	221160000.0	187640000.0
P09972	P09972	ALDOC	Fructose-bisphosphate aldolase C	sp|P09972|ALDOC_HUMAN Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2				655860000.0	525780000.0	489890000.0
