Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity Strap_1	LFQ intensity Strap_2	LFQ intensity Strap_3
Q9UHI6;Q9UHI6-2	Q9UHI6	DDX20	Probable ATP-dependent RNA helicase DDX20	sp|Q9UHI6|DDX20_HUMAN Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens OX=9606 GN=DDX20 PE=1 SV=2						
Q9UHR4	Q9UHR4	BAIAP2L1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1	sp|Q9UHR4|BI2L1_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens OX=9606 GN=BAIAP2L1 PE=1 SV=2						6652000.0
Q9UHV9	Q9UHV9	PFDN2	Prefoldin subunit 2	sp|Q9UHV9|PFD2_HUMAN Prefoldin subunit 2 OS=Homo sapiens OX=9606 GN=PFDN2 PE=1 SV=1						
Q9UHX1-6;Q9UHX1-4;Q9UHX1-5;Q9UHX1-2;Q9UHX1-3;Q9UHX1	Q9UHX1-6;Q9UHX1-4;Q9UHX1-5;Q9UHX1-2;Q9UHX1-3;Q9UHX1	PUF60	Poly(U)-binding-splicing factor PUF60	sp|Q9UHX1-6|PUF60_HUMAN Isoform 6 of Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60;sp|Q9UHX1-4|PUF60_HUMAN Isoform 4 of Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60;sp|Q9UHX1-5|PUF60_HUMAN Isoform 5 of Pol				153990000.0	167860000.0	213120000.0
Q9UHY7;Q9UHY7-2	Q9UHY7;Q9UHY7-2	ENOPH1	Enolase-phosphatase E1	sp|Q9UHY7|ENOPH_HUMAN Enolase-phosphatase E1 OS=Homo sapiens OX=9606 GN=ENOPH1 PE=1 SV=1;sp|Q9UHY7-2|ENOPH_HUMAN Isoform 2 of Enolase-phosphatase E1 OS=Homo sapiens OX=9606 GN=ENOPH1						
Q9UI08-4;Q9UI08;Q9UI08-3;Q9UI08-5;Q9UI08-2	Q9UI08-4;Q9UI08;Q9UI08-3;Q9UI08-5;Q9UI08-2	EVL	Ena/VASP-like protein	sp|Q9UI08-4|EVL_HUMAN Isoform 4 of Ena/VASP-like protein OS=Homo sapiens OX=9606 GN=EVL;sp|Q9UI08|EVL_HUMAN Ena/VASP-like protein OS=Homo sapiens OX=9606 GN=EVL PE=1 SV=2;sp|Q9UI08-3|EVL_HUMAN Isoform 3 of Ena/VASP-like protein OS=Homo sapiens OX=9606 GN=E						
Q9UI09-2;Q9UI09	Q9UI09-2;Q9UI09	NDUFA12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	sp|Q9UI09-2|NDUAC_HUMAN Isoform 2 of NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Homo sapiens OX=9606 GN=NDUFA12;sp|Q9UI09|NDUAC_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Homo sapiens OX=9606 GN=NDUFA12 PE=						4517600.0
Q9UI10-3;Q9UI10;Q9UI10-2	Q9UI10-3;Q9UI10;Q9UI10-2	EIF2B4	Translation initiation factor eIF-2B subunit delta	sp|Q9UI10-3|EI2BD_HUMAN Isoform 3 of Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4;sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;sp|Q9UI10-2|EI2BD						7291900.0
Q9UI12-2;Q9UI12	Q9UI12-2;Q9UI12	ATP6V1H	V-type proton ATPase subunit H	sp|Q9UI12-2|VATH_HUMAN Isoform 2 of V-type proton ATPase subunit H OS=Homo sapiens OX=9606 GN=ATP6V1H;sp|Q9UI12|VATH_HUMAN V-type proton ATPase subunit H OS=Homo sapiens OX=9606 GN=ATP6V1H PE=1 SV=1						
Q9UI15	Q9UI15	TAGLN3	Transgelin-3	sp|Q9UI15|TAGL3_HUMAN Transgelin-3 OS=Homo sapiens OX=9606 GN=TAGLN3 PE=1 SV=2						
Q9UI26;Q9UI26-2	Q9UI26;Q9UI26-2	IPO11	Importin-11	sp|Q9UI26|IPO11_HUMAN Importin-11 OS=Homo sapiens OX=9606 GN=IPO11 PE=1 SV=1;sp|Q9UI26-2|IPO11_HUMAN Isoform 2 of Importin-11 OS=Homo sapiens OX=9606 GN=IPO11						
Q9UI30;Q9UI30-2	Q9UI30;Q9UI30-2	TRMT112	Multifunctional methyltransferase subunit TRM112-like protein	sp|Q9UI30|TR112_HUMAN Multifunctional methyltransferase subunit TRM112-like protein OS=Homo sapiens OX=9606 GN=TRMT112 PE=1 SV=1;sp|Q9UI30-2|TR112_HUMAN Isoform 2 of Multifunctional methyltransferase subunit TRM112-like protein OS=Homo sapiens OX=9606 GN=T						
REV__P82094-2;REV__P82094;Q9UIA0	REV__P82094-2;REV__P82094;Q9UIA0	CYTH4	Cytohesin-4	sp|P82094-2|TMF1_HUMAN Isoform 2 of TATA element modulatory factor OS=Homo sapiens OX=9606 GN=TMF1;sp|P82094|TMF1_HUMAN TATA element modulatory factor OS=Homo sapiens OX=9606 GN=TMF1 PE=1 SV=2;sp|Q9UIA0|CYH4_HUMAN Cytohesin-4 OS=Homo sapiens OX=9606 GN=CYT						
Q9UIA9	Q9UIA9	XPO7	Exportin-7	sp|Q9UIA9|XPO7_HUMAN Exportin-7 OS=Homo sapiens OX=9606 GN=XPO7 PE=1 SV=3						
Q9UIF9-2;Q9UIF9-3;Q9UIF9	Q9UIF9-2;Q9UIF9-3;Q9UIF9	BAZ2A	Bromodomain adjacent to zinc finger domain protein 2A	sp|Q9UIF9-2|BAZ2A_HUMAN Isoform 1 of Bromodomain adjacent to zinc finger domain protein 2A OS=Homo sapiens OX=9606 GN=BAZ2A;sp|Q9UIF9-3|BAZ2A_HUMAN Isoform 3 of Bromodomain adjacent to zinc finger domain protein 2A OS=Homo sapiens OX=9606 GN=BAZ2A;sp|Q9UIF						
Q9UIG0-2;Q9UIG0	Q9UIG0-2;Q9UIG0	BAZ1B	Tyrosine-protein kinase BAZ1B	sp|Q9UIG0-2|BAZ1B_HUMAN Isoform 2 of Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B;sp|Q9UIG0|BAZ1B_HUMAN Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2				21557000.0		
Q9UII2;Q9UII2-3;Q9UII2-2	Q9UII2	ATPIF1	ATPase inhibitor, mitochondrial	sp|Q9UII2|ATIF1_HUMAN ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1						
Q9UJ83-3;Q9UJ83-4;Q9UJ83-2;Q9UJ83	Q9UJ83-3;Q9UJ83-4;Q9UJ83-2;Q9UJ83	HACL1	2-hydroxyacyl-CoA lyase 1	sp|Q9UJ83-3|HACL1_HUMAN Isoform 3 of 2-hydroxyacyl-CoA lyase 1 OS=Homo sapiens OX=9606 GN=HACL1;sp|Q9UJ83-4|HACL1_HUMAN Isoform 4 of 2-hydroxyacyl-CoA lyase 1 OS=Homo sapiens OX=9606 GN=HACL1;sp|Q9UJ83-2|HACL1_HUMAN Isoform 2 of 2-hydroxyacyl-CoA lyase 1 O						
Q9UJC3-2;Q9UJC3	Q9UJC3-2;Q9UJC3	HOOK1	Protein Hook homolog 1	sp|Q9UJC3-2|HOOK1_HUMAN Isoform 2 of Protein Hook homolog 1 OS=Homo sapiens OX=9606 GN=HOOK1;sp|Q9UJC3|HOOK1_HUMAN Protein Hook homolog 1 OS=Homo sapiens OX=9606 GN=HOOK1 PE=1 SV=2						
Q9UJS0;Q9UJS0-2	Q9UJS0;Q9UJS0-2	SLC25A13	Calcium-binding mitochondrial carrier protein Aralar2	sp|Q9UJS0|CMC2_HUMAN Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens OX=9606 GN=SLC25A13 PE=1 SV=2;sp|Q9UJS0-2|CMC2_HUMAN Isoform 2 of Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens OX=9606 GN=SLC25A13				67448000.0	94052000.0	93796000.0
Q9UJU6;Q9UJU6-5	Q9UJU6;Q9UJU6-5	DBNL	Drebrin-like protein	sp|Q9UJU6|DBNL_HUMAN Drebrin-like protein OS=Homo sapiens OX=9606 GN=DBNL PE=1 SV=1;sp|Q9UJU6-5|DBNL_HUMAN Isoform 5 of Drebrin-like protein OS=Homo sapiens OX=9606 GN=DBNL				43841000.0	31793000.0	32700000.0
Q9UJU6-2;Q9UJU6-6;Q9UJU6-3;Q9UJU6-4	Q9UJU6-2;Q9UJU6-6;Q9UJU6-3;Q9UJU6-4	DBNL	Drebrin-like protein	sp|Q9UJU6-2|DBNL_HUMAN Isoform 2 of Drebrin-like protein OS=Homo sapiens OX=9606 GN=DBNL;sp|Q9UJU6-6|DBNL_HUMAN Isoform 6 of Drebrin-like protein OS=Homo sapiens OX=9606 GN=DBNL;sp|Q9UJU6-3|DBNL_HUMAN Isoform 3 of Drebrin-like protein OS=Homo sapiens OX=96						3061400.0
Q9UJV9	Q9UJV9	DDX41	Probable ATP-dependent RNA helicase DDX41	sp|Q9UJV9|DDX41_HUMAN Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens OX=9606 GN=DDX41 PE=1 SV=2						
Q9UJW0;Q9UJW0-3	Q9UJW0;Q9UJW0-3	DCTN4	Dynactin subunit 4	sp|Q9UJW0|DCTN4_HUMAN Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4 PE=1 SV=1;sp|Q9UJW0-3|DCTN4_HUMAN Isoform 3 of Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4						
Q9UJZ1;Q9UJZ1-2	Q9UJZ1;Q9UJZ1-2	STOML2	Stomatin-like protein 2, mitochondrial	sp|Q9UJZ1|STML2_HUMAN Stomatin-like protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=STOML2 PE=1 SV=1;sp|Q9UJZ1-2|STML2_HUMAN Isoform 2 of Stomatin-like protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=STOML2				60406000.0	53393000.0	71542000.0
Q9UK59-2;Q9UK59	Q9UK59-2;Q9UK59	DBR1	Lariat debranching enzyme	sp|Q9UK59-2|DBR1_HUMAN Isoform 2 of Lariat debranching enzyme OS=Homo sapiens OX=9606 GN=DBR1;sp|Q9UK59|DBR1_HUMAN Lariat debranching enzyme OS=Homo sapiens OX=9606 GN=DBR1 PE=1 SV=2						
Q9UK76-2;Q9UK76;Q9UK76-3	Q9UK76-2;Q9UK76;Q9UK76-3	HN1	Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed	sp|Q9UK76-2|JUPI1_HUMAN Isoform 2 of Jupiter microtubule associated homolog 1 OS=Homo sapiens OX=9606 GN=JPT1;sp|Q9UK76|JUPI1_HUMAN Jupiter microtubule associated homolog 1 OS=Homo sapiens OX=9606 GN=JPT1 PE=1 SV=3;sp|Q9UK76-3|JUPI1_HUMAN Isoform 3 of Jupi				177880000.0	125990000.0	182710000.0
Q9UKD2	Q9UKD2	MRTO4	mRNA turnover protein 4 homolog	sp|Q9UKD2|MRT4_HUMAN mRNA turnover protein 4 homolog OS=Homo sapiens OX=9606 GN=MRTO4 PE=1 SV=2						65692000.0
Q9UKF6	Q9UKF6	CPSF3	Cleavage and polyadenylation specificity factor subunit 3	sp|Q9UKF6|CPSF3_HUMAN Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=1						
Q9UKK9	Q9UKK9	NUDT5	ADP-sugar pyrophosphatase	sp|Q9UKK9|NUDT5_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1				206840000.0	200220000.0	225510000.0
Q9UKM9-2;Q9UKM9	Q9UKM9-2;Q9UKM9	RALY	RNA-binding protein Raly	sp|Q9UKM9-2|RALY_HUMAN Isoform 1 of RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY;sp|Q9UKM9|RALY_HUMAN RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1				61157000.0		66138000.0
Q9UKS6	Q9UKS6	PACSIN3	Protein kinase C and casein kinase substrate in neurons protein 3	sp|Q9UKS6|PACN3_HUMAN Protein kinase C and casein kinase substrate in neurons protein 3 OS=Homo sapiens OX=9606 GN=PACSIN3 PE=1 SV=2						
Q9UKV3-5;Q9UKV3;Q9UKV3-3;Q9UKV3-2	Q9UKV3-5;Q9UKV3;Q9UKV3-3;Q9UKV3-2	ACIN1	Apoptotic chromatin condensation inducer in the nucleus	sp|Q9UKV3-5|ACINU_HUMAN Isoform 4 of Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;sp|Q9UKV3				49043000.0	70452000.0	53164000.0
Q9UKX7-2;Q9UKX7	Q9UKX7-2;Q9UKX7	NUP50	Nuclear pore complex protein Nup50	sp|Q9UKX7-2|NUP50_HUMAN Isoform 2 of Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50;sp|Q9UKX7|NUP50_HUMAN Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50 PE=1 SV=2						
Q9UKY7;Q9UKY7-2;Q9UKY7-3	Q9UKY7;Q9UKY7-2	CDV3	Protein CDV3 homolog	sp|Q9UKY7|CDV3_HUMAN Protein CDV3 homolog OS=Homo sapiens OX=9606 GN=CDV3 PE=1 SV=1;sp|Q9UKY7-2|CDV3_HUMAN Isoform 2 of Protein CDV3 homolog OS=Homo sapiens OX=9606 GN=CDV3				325890000.0	319250000.0	286310000.0
Q9UKZ1	Q9UKZ1	CNOT11	CCR4-NOT transcription complex subunit 11	sp|Q9UKZ1|CNO11_HUMAN CCR4-NOT transcription complex subunit 11 OS=Homo sapiens OX=9606 GN=CNOT11 PE=1 SV=1						4264400.0
Q9UL25	Q9UL25	RAB21	Ras-related protein Rab-21	sp|Q9UL25|RAB21_HUMAN Ras-related protein Rab-21 OS=Homo sapiens OX=9606 GN=RAB21 PE=1 SV=3						
Q9UL46	Q9UL46	PSME2	Proteasome activator complex subunit 2	sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4				111520000.0		87110000.0
Q9ULC4-3;Q9ULC4;Q9ULC4-2	Q9ULC4-3;Q9ULC4;Q9ULC4-2	MCTS1	Malignant T-cell-amplified sequence 1	sp|Q9ULC4-3|MCTS1_HUMAN Isoform 3 of Malignant T-cell-amplified sequence 1 OS=Homo sapiens OX=9606 GN=MCTS1;sp|Q9ULC4|MCTS1_HUMAN Malignant T-cell-amplified sequence 1 OS=Homo sapiens OX=9606 GN=MCTS1 PE=1 SV=1;sp|Q9ULC4-2|MCTS1_HUMAN Isoform 2 of Malignan					17785000.0	
Q9ULF5-2;Q9ULF5	Q9ULF5-2;Q9ULF5	SLC39A10	Zinc transporter ZIP10	sp|Q9ULF5-2|S39AA_HUMAN Isoform 2 of Zinc transporter ZIP10 OS=Homo sapiens OX=9606 GN=SLC39A10;sp|Q9ULF5|S39AA_HUMAN Zinc transporter ZIP10 OS=Homo sapiens OX=9606 GN=SLC39A10 PE=1 SV=2				6913100.0		
Q9ULR0;Q9ULR0-2;Q9ULR0-1	Q9ULR0;Q9ULR0-2;Q9ULR0-1	ISY1	Pre-mRNA-splicing factor ISY1 homolog	sp|Q9ULR0|ISY1_HUMAN Pre-mRNA-splicing factor ISY1 homolog OS=Homo sapiens OX=9606 GN=ISY1 PE=1 SV=3;sp|Q9ULR0-2|ISY1_HUMAN Isoform 1 of Pre-mRNA-splicing factor ISY1 homolog OS=Homo sapiens OX=9606 GN=ISY1;sp|Q9ULR0-1|ISY1_HUMAN Isoform 2 of Pre-mRNA-spli						
Q9ULU4-2;Q9ULU4-22;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-13;Q9ULU4;Q9ULU4-20;Q9ULU4-5;Q9ULU4-9;Q9ULU4-16;Q9ULU4-12;Q9ULU4-4;Q9ULU4-14;Q9ULU4-18;Q9ULU4-21;Q9ULU4-8;Q9ULU4-23;Q9ULU4-15;Q9ULU4-17;Q9ULU4-6;Q9ULU4-3;Q9ULU4-19	Q9ULU4-2;Q9ULU4-22;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-13;Q9ULU4;Q9ULU4-20;Q9ULU4-5;Q9ULU4-9;Q9ULU4-16;Q9ULU4-12;Q9ULU4-4;Q9ULU4-14;Q9ULU4-18;Q9ULU4-21;Q9ULU4-8;Q9ULU4-23;Q9ULU4-15;Q9ULU4-17;Q9ULU4-6;Q9ULU4-3;Q9ULU4-19	ZMYND8	Protein kinase C-binding protein 1	sp|Q9ULU4-2|PKCB1_HUMAN Isoform 2 of Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8;sp|Q9ULU4-22|PKCB1_HUMAN Isoform 22 of Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8;sp|Q9ULU4-7|PKCB1_HUMAN Isoform 7 of Prote						1835300.0
Q9ULV4;Q9ULV4-2;Q9ULV4-3	Q9ULV4;Q9ULV4-2;Q9ULV4-3	CORO1C	Coronin-1C	sp|Q9ULV4|COR1C_HUMAN Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1;sp|Q9ULV4-2|COR1C_HUMAN Isoform 2 of Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C;sp|Q9ULV4-3|COR1C_HUMAN Isoform 3 of Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C				98968000.0	92282000.0	96314000.0
Q9ULX3	Q9ULX3	NOB1	RNA-binding protein NOB1	sp|Q9ULX3|NOB1_HUMAN RNA-binding protein NOB1 OS=Homo sapiens OX=9606 GN=NOB1 PE=1 SV=1						6423900.0
Q9ULX6;Q9ULX6-2	Q9ULX6;Q9ULX6-2	AKAP8L	A-kinase anchor protein 8-like	sp|Q9ULX6|AKP8L_HUMAN A-kinase anchor protein 8-like OS=Homo sapiens OX=9606 GN=AKAP8L PE=1 SV=4;sp|Q9ULX6-2|AKP8L_HUMAN Isoform 2 of A-kinase anchor protein 8-like OS=Homo sapiens OX=9606 GN=AKAP8L						
Q9UM00-1;Q9UM00-2;Q9UM00	Q9UM00-1;Q9UM00-2;Q9UM00	TMCO1	Transmembrane and coiled-coil domain-containing protein 1	sp|Q9UM00-1|TMCO1_HUMAN Isoform 3 of Calcium load-activated calcium channel OS=Homo sapiens OX=9606 GN=TMCO1;sp|Q9UM00-2|TMCO1_HUMAN Isoform 2 of Calcium load-activated calcium channel OS=Homo sapiens OX=9606 GN=TMCO1;sp|Q9UM00|TMCO1_HUMAN Calcium load-act				40332000.0	38256000.0	37054000.0
Q9UM54-6;Q9UM54-5;Q9UM54-2;Q9UM54-4;Q9UM54-1;Q9UM54	Q9UM54-6;Q9UM54-5;Q9UM54-2;Q9UM54-4;Q9UM54-1;Q9UM54	MYO6	Unconventional myosin-VI	sp|Q9UM54-6|MYO6_HUMAN Isoform 6 of Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6;sp|Q9UM54-5|MYO6_HUMAN Isoform 5 of Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6;sp|Q9UM54-2|MYO6_HUMAN Isoform 2 of Unconventional myosin-VI OS=Homo s						
Q9UMR2;Q9UMR2-2;Q9UMR2-4;Q9UMR2-3	Q9UMR2;Q9UMR2-2;Q9UMR2-4;Q9UMR2-3	DDX19B	ATP-dependent RNA helicase DDX19B	sp|Q9UMR2|DD19B_HUMAN ATP-dependent RNA helicase DDX19B OS=Homo sapiens OX=9606 GN=DDX19B PE=1 SV=1;sp|Q9UMR2-2|DD19B_HUMAN Isoform 2 of ATP-dependent RNA helicase DDX19B OS=Homo sapiens OX=9606 GN=DDX19B;sp|Q9UMR2-4|DD19B_HUMAN Isoform 4 of ATP-dependent 						
Q9UMS4	Q9UMS4	PRPF19	Pre-mRNA-processing factor 19	sp|Q9UMS4|PRP19_HUMAN Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1				278600000.0	193440000.0	280230000.0
Q9UMX0-2;Q9UMX0;Q9UMX0-3;Q9UMX0-4	Q9UMX0-2;Q9UMX0;Q9UMX0-3	UBQLN1	Ubiquilin-1	sp|Q9UMX0-2|UBQL1_HUMAN Isoform 2 of Ubiquilin-1 OS=Homo sapiens OX=9606 GN=UBQLN1;sp|Q9UMX0|UBQL1_HUMAN Ubiquilin-1 OS=Homo sapiens OX=9606 GN=UBQLN1 PE=1 SV=2;sp|Q9UMX0-3|UBQL1_HUMAN Isoform 3 of Ubiquilin-1 OS=Homo sapiens OX=9606 GN=UBQLN1				118790000.0	133410000.0	98184000.0
Q9UMX5	Q9UMX5	NENF	Neudesin	sp|Q9UMX5|NENF_HUMAN Neudesin OS=Homo sapiens OX=9606 GN=NENF PE=1 SV=1						
Q9UMY1;Q9UMY1-2	Q9UMY1	NOL7	Nucleolar protein 7	sp|Q9UMY1|NOL7_HUMAN Nucleolar protein 7 OS=Homo sapiens OX=9606 GN=NOL7 PE=1 SV=2						
Q9UMY4-1;Q9UMY4;Q9UMY4-3	Q9UMY4-1;Q9UMY4;Q9UMY4-3	SNX12	Sorting nexin-12	sp|Q9UMY4-1|SNX12_HUMAN Isoform 1 of Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12;sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4;sp|Q9UMY4-3|SNX12_HUMAN Isoform 3 of Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12					22413000.0	
Q9UN86-2;Q9UN86	Q9UN86-2;Q9UN86	G3BP2	Ras GTPase-activating protein-binding protein 2	sp|Q9UN86-2|G3BP2_HUMAN Isoform B of Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2;sp|Q9UN86|G3BP2_HUMAN Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2						
Q9UNE7-2;Q9UNE7	Q9UNE7-2;Q9UNE7	STUB1	E3 ubiquitin-protein ligase CHIP	sp|Q9UNE7-2|CHIP_HUMAN Isoform 2 of E3 ubiquitin-protein ligase CHIP OS=Homo sapiens OX=9606 GN=STUB1;sp|Q9UNE7|CHIP_HUMAN E3 ubiquitin-protein ligase CHIP OS=Homo sapiens OX=9606 GN=STUB1 PE=1 SV=2						
Q9UNF0-2;Q9UNF0	Q9UNF0-2;Q9UNF0	PACSIN2	Protein kinase C and casein kinase substrate in neurons protein 2	sp|Q9UNF0-2|PACN2_HUMAN Isoform 2 of Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens OX=9606 GN=PACSIN2;sp|Q9UNF0|PACN2_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens OX=9606 GN=PAC						
Q9UNF1-2;Q9UNF1	Q9UNF1-2;Q9UNF1	MAGED2	Melanoma-associated antigen D2	sp|Q9UNF1-2|MAGD2_HUMAN Isoform 2 of Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2;sp|Q9UNF1|MAGD2_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2						
Q9UNH7;Q9UNH7-2	Q9UNH7;Q9UNH7-2	SNX6	Sorting nexin-6;Sorting nexin-6, N-terminally processed	sp|Q9UNH7|SNX6_HUMAN Sorting nexin-6 OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1;sp|Q9UNH7-2|SNX6_HUMAN Isoform 2 of Sorting nexin-6 OS=Homo sapiens OX=9606 GN=SNX6				21928000.0		
Q9UNL2;Q9UNL2-2	Q9UNL2;Q9UNL2-2	SSR3	Translocon-associated protein subunit gamma	sp|Q9UNL2|SSRG_HUMAN Translocon-associated protein subunit gamma OS=Homo sapiens OX=9606 GN=SSR3 PE=1 SV=1;sp|Q9UNL2-2|SSRG_HUMAN Isoform 2 of Translocon-associated protein subunit gamma OS=Homo sapiens OX=9606 GN=SSR3						67192000.0
Q9UNM6;Q9UNM6-2	Q9UNM6;Q9UNM6-2	PSMD13	26S proteasome non-ATPase regulatory subunit 13	sp|Q9UNM6|PSD13_HUMAN 26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2;sp|Q9UNM6-2|PSD13_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13				90506000.0		79045000.0
Q9UNN5;Q9UNN5-2	Q9UNN5;Q9UNN5-2	FAF1	FAS-associated factor 1	sp|Q9UNN5|FAF1_HUMAN FAS-associated factor 1 OS=Homo sapiens OX=9606 GN=FAF1 PE=1 SV=2;sp|Q9UNN5-2|FAF1_HUMAN Isoform Short of FAS-associated factor 1 OS=Homo sapiens OX=9606 GN=FAF1						12834000.0
Q9UNQ0-2;Q9UNQ0	Q9UNQ0-2;Q9UNQ0	ABCG2	ATP-binding cassette sub-family G member 2	sp|Q9UNQ0-2|ABCG2_HUMAN Isoform 2 of Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Homo sapiens OX=9606 GN=ABCG2;sp|Q9UNQ0|ABCG2_HUMAN Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Homo sapiens OX=9606 GN=ABC						
Q9UNS2-2;Q9UNS2	Q9UNS2-2;Q9UNS2	COPS3	COP9 signalosome complex subunit 3	sp|Q9UNS2-2|CSN3_HUMAN Isoform 2 of COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3;sp|Q9UNS2|CSN3_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3				56678000.0		
Q9UNX4	Q9UNX4	WDR3	WD repeat-containing protein 3	sp|Q9UNX4|WDR3_HUMAN WD repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=WDR3 PE=1 SV=1					14397000.0	16366000.0
Q9UNZ2;Q9UNZ2-5;Q9UNZ2-6;Q9UNZ2-4	Q9UNZ2;Q9UNZ2-5;Q9UNZ2-6;Q9UNZ2-4	NSFL1C	NSFL1 cofactor p47	sp|Q9UNZ2|NSF1C_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2;sp|Q9UNZ2-5|NSF1C_HUMAN Isoform 3 of NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C;sp|Q9UNZ2-6|NSF1C_HUMAN Isoform 4 of NSFL1 cofactor p47 OS=Homo sapiens OX=9606 G				43199000.0	50020000.0	
Q9UNZ5	Q9UNZ5	C19orf53	Leydig cell tumor 10 kDa protein homolog	sp|Q9UNZ5|L10K_HUMAN Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens OX=9606 GN=C19orf53 PE=1 SV=1						
