Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity SP3_1	LFQ intensity SP3_2	LFQ intensity SP3_3
Q8TEM1;Q8TEM1-2	Q8TEM1	NUP210	Nuclear pore membrane glycoprotein 210	sp|Q8TEM1|PO210_HUMAN Nuclear pore membrane glycoprotein 210 OS=Homo sapiens OX=9606 GN=NUP210 PE=1 SV=3				93367000.0		
Q8TEQ6	Q8TEQ6	GEMIN5	Gem-associated protein 5	sp|Q8TEQ6|GEMI5_HUMAN Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3				49027000.0	17681000.0	
Q8WTS6	Q8WTS6	SETD7	Histone-lysine N-methyltransferase SETD7	sp|Q8WTS6|SETD7_HUMAN Histone-lysine N-methyltransferase SETD7 OS=Homo sapiens OX=9606 GN=SETD7 PE=1 SV=1						10687000.0
Q8WU90;Q8WU90-2	Q8WU90;Q8WU90-2	ZC3H15	Zinc finger CCCH domain-containing protein 15	sp|Q8WU90|ZC3HF_HUMAN Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ZC3H15 PE=1 SV=1;sp|Q8WU90-2|ZC3HF_HUMAN Isoform 2 of Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ZC3H15						7816200.0
Q8WUF5	Q8WUF5	PPP1R13L	RelA-associated inhibitor	sp|Q8WUF5|IASPP_HUMAN RelA-associated inhibitor OS=Homo sapiens OX=9606 GN=PPP1R13L PE=1 SV=4					31187000.0	25734000.0
Q8WUH6	Q8WUH6	TMEM263	Transmembrane protein 263	sp|Q8WUH6|TM263_HUMAN Transmembrane protein 263 OS=Homo sapiens OX=9606 GN=TMEM263 PE=1 SV=1						9725100.0
Q8WUM4;Q8WUM4-2;Q8WUM4-3	Q8WUM4;Q8WUM4-2	PDCD6IP	Programmed cell death 6-interacting protein	sp|Q8WUM4|PDC6I_HUMAN Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1;sp|Q8WUM4-2|PDC6I_HUMAN Isoform 2 of Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP				416130000.0	259120000.0	241980000.0
Q8WUY1	Q8WUY1	THEM6	Protein THEM6	sp|Q8WUY1|THEM6_HUMAN Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2						16782000.0
Q8WVJ2	Q8WVJ2	NUDCD2	NudC domain-containing protein 2	sp|Q8WVJ2|NUDC2_HUMAN NudC domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NUDCD2 PE=1 SV=1						55669000.0
Q8WW12;Q8WW12-2;Q8WW12-3	Q8WW12;Q8WW12-2	PCNP	PEST proteolytic signal-containing nuclear protein	sp|Q8WW12|PCNP_HUMAN PEST proteolytic signal-containing nuclear protein OS=Homo sapiens OX=9606 GN=PCNP PE=1 SV=2;sp|Q8WW12-2|PCNP_HUMAN Isoform 2 of PEST proteolytic signal-containing nuclear protein OS=Homo sapiens OX=9606 GN=PCNP				73713000.0	149290000.0	112800000.0
Q8WWI1-3;Q8WWI1	Q8WWI1-3;Q8WWI1	LMO7	LIM domain only protein 7	sp|Q8WWI1-3|LMO7_HUMAN Isoform 3 of LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7;sp|Q8WWI1|LMO7_HUMAN LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=3				53682000.0	90545000.0	75771000.0
Q8WWM7-6;Q8WWM7-8;Q8WWM7-5;Q8WWM7-4;Q8WWM7-9;Q8WWM7-2;Q8WWM7;Q8WWM7-3;Q8WWM7-7	Q8WWM7-6;Q8WWM7-8;Q8WWM7-5;Q8WWM7-4;Q8WWM7-9;Q8WWM7-2;Q8WWM7;Q8WWM7-3	ATXN2L	Ataxin-2-like protein	sp|Q8WWM7-6|ATX2L_HUMAN Isoform 6 of Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L;sp|Q8WWM7-8|ATX2L_HUMAN Isoform 8 of Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L;sp|Q8WWM7-5|ATX2L_HUMAN Isoform 5 of Ataxin-2-like protein OS=Homo sap				25558000.0		
Q8WXI9	Q8WXI9	GATAD2B	Transcriptional repressor p66-beta	sp|Q8WXI9|P66B_HUMAN Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1				32726000.0		31164000.0
Q8WXX5	Q8WXX5	DNAJC9	DnaJ homolog subfamily C member 9	sp|Q8WXX5|DNJC9_HUMAN DnaJ homolog subfamily C member 9 OS=Homo sapiens OX=9606 GN=DNAJC9 PE=1 SV=1				31073000.0		
Q8WZ82	Q8WZ82	OVCA2	Ovarian cancer-associated gene 2 protein	sp|Q8WZ82|OVCA2_HUMAN Esterase OVCA2 OS=Homo sapiens OX=9606 GN=OVCA2 PE=1 SV=1						7591100.0
Q92466-2;Q92466-4;Q92466	Q92466-2;Q92466-4;Q92466	DDB2	DNA damage-binding protein 2	sp|Q92466-2|DDB2_HUMAN Isoform D1 of DNA damage-binding protein 2 OS=Homo sapiens OX=9606 GN=DDB2;sp|Q92466-4|DDB2_HUMAN Isoform D3 of DNA damage-binding protein 2 OS=Homo sapiens OX=9606 GN=DDB2;sp|Q92466|DDB2_HUMAN DNA damage-binding protein 2 OS=Homo sa					9785900.0	
Q92499;Q92499-3;Q92499-2	Q92499;Q92499-3;Q92499-2	DDX1	ATP-dependent RNA helicase DDX1	sp|Q92499|DDX1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2;sp|Q92499-3|DDX1_HUMAN Isoform 3 of ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1;sp|Q92499-2|DDX1_HUMAN Isoform 2 of ATP-dependent RNA helicas				132200000.0		141580000.0
Q92522	Q92522	H1FX	Histone H1x	sp|Q92522|H1X_HUMAN Histone H1x OS=Homo sapiens OX=9606 GN=H1FX PE=1 SV=1				92536000.0		
Q92538-3;Q92538-2;Q92538	Q92538-3;Q92538-2;Q92538	GBF1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	sp|Q92538-3|GBF1_HUMAN Isoform 3 of Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=GBF1;sp|Q92538-2|GBF1_HUMAN Isoform 2 of Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS					18538000.0	
Q92597;Q92597-3;Q92597-2	Q92597;Q92597-3;Q92597-2	NDRG1	Protein NDRG1	sp|Q92597|NDRG1_HUMAN Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1;sp|Q92597-3|NDRG1_HUMAN Isoform 3 of Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1;sp|Q92597-2|NDRG1_HUMAN Isoform 2 of Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1				226850000.0	199790000.0	165100000.0
Q92598-2;Q92598-3;Q92598;Q92598-4	Q92598-2;Q92598-3;Q92598;Q92598-4	HSPH1	Heat shock protein 105 kDa	sp|Q92598-2|HS105_HUMAN Isoform Beta of Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1;sp|Q92598-3|HS105_HUMAN Isoform 3 of Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1;sp|Q92598|HS105_HUMAN Heat shock protein 105 kDa OS=Homo sa				179760000.0	113250000.0	188450000.0
Q92600;Q92600-2	Q92600;Q92600-2	RQCD1	Cell differentiation protein RCD1 homolog	sp|Q92600|CNOT9_HUMAN CCR4-NOT transcription complex subunit 9 OS=Homo sapiens OX=9606 GN=CNOT9 PE=1 SV=1;sp|Q92600-2|CNOT9_HUMAN Isoform 2 of CCR4-NOT transcription complex subunit 9 OS=Homo sapiens OX=9606 GN=CNOT9					15311000.0	
Q92614-5;Q92614-2;Q92614-3;Q92614-4;Q92614	Q92614-5;Q92614-2;Q92614-3;Q92614-4;Q92614	MYO18A	Unconventional myosin-XVIIIa	sp|Q92614-5|MY18A_HUMAN Isoform 5 of Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A;sp|Q92614-2|MY18A_HUMAN Isoform 2 of Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A;sp|Q92614-3|MY18A_HUMAN Isoform 3 of Unconventional myos						4577200.0
Q92615	Q92615	LARP4B	La-related protein 4B	sp|Q92615|LAR4B_HUMAN La-related protein 4B OS=Homo sapiens OX=9606 GN=LARP4B PE=1 SV=3						23651000.0
Q92616	Q92616	GCN1L1	Translational activator GCN1	sp|Q92616|GCN1_HUMAN eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6				163240000.0	241530000.0	273790000.0
Q92620;Q92620-2	Q92620	DHX38	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	sp|Q92620|PRP16_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 OS=Homo sapiens OX=9606 GN=DHX38 PE=1 SV=2				14076000.0		13117000.0
Q92621	Q92621	NUP205	Nuclear pore complex protein Nup205	sp|Q92621|NU205_HUMAN Nuclear pore complex protein Nup205 OS=Homo sapiens OX=9606 GN=NUP205 PE=1 SV=3				48823000.0	52780000.0	
Q92665	Q92665	MRPS31	28S ribosomal protein S31, mitochondrial	sp|Q92665|RT31_HUMAN 28S ribosomal protein S31, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS31 PE=1 SV=3						18295000.0
Q92688-2;Q92688	Q92688-2;Q92688	ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B	sp|Q92688-2|AN32B_HUMAN Isoform 2 of Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B;sp|Q92688|AN32B_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 				215810000.0		
