Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity DOC_1	LFQ intensity DOC_2	LFQ intensity DOC_3
P62750	P62750	RPL23A	60S ribosomal protein L23a	sp|P62750|RL23A_HUMAN 60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1				70065000.0	401620000.0	629240000.0
P62753	P62753	RPS6	40S ribosomal protein S6	sp|P62753|RS6_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1					1016700000.0	1192500000.0
P62805	P62805	HIST1H4A	Histone H4	sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2					5122800000.0	5275300000.0
P62820;P62820-2;P62820-3	P62820;P62820-2;P62820-3	RAB1A	Ras-related protein Rab-1A	sp|P62820|RAB1A_HUMAN Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3;sp|P62820-2|RAB1A_HUMAN Isoform 2 of Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A;sp|P62820-3|RAB1A_HUMAN Isoform 3 of Ras-related protein Rab-1A OS=				401650000.0	408180000.0	353230000.0
P62826	P62826	RAN	GTP-binding nuclear protein Ran	sp|P62826|RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3				794560000.0	1601300000.0	1920800000.0
P62829	P62829	RPL23	60S ribosomal protein L23	sp|P62829|RL23_HUMAN 60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1					376130000.0	451520000.0
P62847-2;P62847-3;P62847;P62847-4	P62847-2;P62847-3;P62847;P62847-4	RPS24	40S ribosomal protein S24	sp|P62847-2|RS24_HUMAN Isoform 2 of 40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24;sp|P62847-3|RS24_HUMAN Isoform 3 of 40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24;sp|P62847|RS24_HUMAN 40S ribosomal protein S24 OS=Homo sapiens OX=					149870000.0	278340000.0
P62851	P62851	RPS25	40S ribosomal protein S25	sp|P62851|RS25_HUMAN 40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1					438970000.0	503060000.0
P62854;Q5JNZ5	P62854;Q5JNZ5	RPS26;RPS26P11	40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1	sp|P62854|RS26_HUMAN 40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3;sp|Q5JNZ5|RS26L_HUMAN Putative 40S ribosomal protein S26-like 1 OS=Homo sapiens OX=9606 GN=RPS26P11 PE=5 SV=1					208240000.0	
P62857	P62857	RPS28	40S ribosomal protein S28	sp|P62857|RS28_HUMAN 40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1				34731000.0	635810000.0	598660000.0
